cntry,netuse,gndr,agea,eisced,mnactic,hinctnta,ipcrtiv,impdiff,impfun,iscomajor,freqnet,nonet
BE,6,1,43,6,1,5,3,4,4,9,1,6
BE,7,2,19,3,2,1,2,4,4,5,1,7
BE,7,2,23,6,1,10,4,4,3,2,1,7
BE,0,2,58,6,4,6,4,2,4,1,0,1
BE,7,2,62,6,6,5,2,4,1,2,1,7
BE,7,1,26,7,1,6,3,4,4,1,1,7
BE,7,1,40,4,1,2,4,1,4,9,1,7
BE,1,1,48,4,1,6,3,2,4,8,0,1
BE,0,1,68,4,6,8,4,2,4,1,0,1
BE,0,1,72,4,6,7,2,2,2,2,0,1
BE,0,1,70,1,6,7,3,2,3,7,0,1
BE,7,2,56,4,4,1,3,4,3,4,1,7
BE,7,2,63,2,6,4,4,1,3,9,1,7
BE,7,1,16,2,2,8,2,4,4,10,1,7
BE,0,1,59,4,1,8,4,3,2,3,0,1
BE,0,1,79,1,6,1,1,1,4,1,0,1
BE,7,2,34,4,1,7,3,2,5,5,1,7
BE,7,2,38,5,1,3,3,5,4,6,1,7
BE,7,2,50,6,1,5,1,2,5,3,1,7
BE,7,2,66,5,8,7,2,3,2,10,1,7
BE,7,1,46,4,1,9,4,4,5,5,1,7
BE,7,1,46,7,1,9,2,1,3,2,1,7
BE,7,1,73,2,6,5,4,3,4,2,1,7
BE,0,1,77,2,6,4,4,3,3,8,0,1
BE,5,2,32,5,1,8,3,2,3,4,0,5
BE,7,1,28,7,2,9,5,5,2,10,1,7
BE,7,1,45,4,1,8,2,2,2,7,1,7
BE,7,1,48,2,1,4,3,1,2,9,1,7
BE,7,1,63,6,6,4,4,2,4,3,1,7
BE,0,1,74,5,6,4,4,2,1,7,0,1
BE,1,1,80,1,6,5,2,2,4,7,0,1
BE,7,2,25,5,8,7,0,3,3,4,1,7
BE,7,2,39,6,1,8,2,2,3,4,1,7
BE,6,2,42,7,8,5,3,4,5,1,1,6
BE,4,2,58,4,8,5,3,2,2,5,0,4
BE,7,2,71,4,6,2,2,3,2,4,1,7
BE,7,1,17,2,2,7,3,4,4,10,1,7
BE,6,1,33,6,1,8,2,3,3,3,1,6
BE,6,1,37,6,1,8,4,3,4,4,1,6
BE,7,1,40,6,1,9,3,2,4,2,1,7
BE,5,1,52,7,1,7,5,5,3,1,0,5
BE,7,1,62,7,1,10,2,4,3,1,1,7
BE,6,2,26,4,1,6,3,4,4,9,1,6
BE,7,2,31,2,1,6,4,4,4,4,1,7
BE,3,2,50,6,1,7,1,3,3,1,0,3
BE,7,2,59,6,1,8,3,2,2,3,1,7
BE,1,2,66,2,6,4,3,3,3,5,0,1
BE,0,2,76,2,5,5,5,4,3,4,0,1
BE,7,1,74,5,6,7,4,4,2,3,1,7
BE,4,2,24,3,8,7,2,3,3,9,0,4
BE,7,2,51,2,5,3,2,5,3,5,1,7
BE,7,1,25,6,2,1,4,3,4,10,1,7
BE,7,1,32,7,1,4,3,4,4,2,1,7
BE,7,2,18,2,9,6,5,5,5,10,1,7
BE,7,2,36,3,5,3,5,5,4,9,1,7
BE,5,1,42,7,1,6,3,3,3,4,0,5
BE,0,1,55,4,6,8,4,3,3,4,0,1
BE,4,2,20,2,3,6,4,4,5,10,0,4
BE,6,1,49,1,1,4,4,4,2,8,1,6
BE,7,1,56,7,1,8,4,4,4,3,1,7
BE,4,2,43,4,1,7,4,3,3,5,0,4
BE,4,2,62,6,1,8,3,3,3,2,0,4
BE,7,1,37,6,1,5,5,3,4,3,1,7
BE,0,2,30,5,1,2,3,3,4,4,0,1
BE,5,2,39,4,1,4,3,2,3,1,0,5
BE,0,2,56,4,8,7,3,4,4,1,0,1
BE,1,2,67,4,6,5,2,1,4,3,0,1
BE,6,1,34,7,3,6,3,2,3,3,1,6
BE,7,1,43,7,1,9,3,3,3,1,1,7
BE,0,1,49,5,1,2,5,2,4,3,0,1
BE,0,1,91,5,6,2,3,5,4,8,0,1
BE,6,2,29,6,8,8,3,1,2,4,1,6
BE,2,2,44,7,1,10,5,3,3,2,0,2
BE,7,2,42,6,3,7,3,4,4,5,1,7
BE,7,1,15,2,2,10,5,5,5,10,1,7
BE,0,1,41,6,1,4,4,4,3,9,0,1
BE,2,2,69,2,6,5,2,1,4,4,0,2
BE,7,1,22,5,2,6,4,4,3,10,1,7
BE,6,1,42,4,1,7,4,3,2,8,1,6
BE,5,1,75,2,6,5,4,3,3,3,0,5
BE,6,2,44,6,1,5,1,4,4,5,1,6
BE,5,1,33,2,1,7,2,2,3,8,0,5
BE,7,1,32,5,1,4,4,3,5,9,1,7
BE,6,2,38,4,1,7,1,4,5,7,1,6
BE,7,2,54,2,8,6,1,1,3,4,1,7
BE,7,2,66,6,6,8,4,3,3,2,1,7
BE,0,1,52,4,5,1,4,5,4,8,0,1
BE,6,2,27,1,8,5,0,1,2,10,1,6
BE,0,2,56,5,5,2,1,2,2,9,0,1
BE,7,1,33,2,1,3,3,3,3,9,1,7
BE,7,1,36,7,1,9,4,2,3,3,1,7
BE,0,1,45,2,1,7,1,1,2,9,0,1
BE,7,1,48,2,5,2,2,3,4,7,1,7
BE,5,2,27,7,1,7,4,4,4,2,0,5
BE,1,2,58,7,8,9,5,5,5,10,0,1
BE,0,2,83,1,6,3,5,5,4,5,0,1
BE,7,1,47,4,1,6,4,1,3,9,1,7
BE,6,1,50,6,8,6,5,4,3,4,1,6
BE,7,1,59,7,1,9,5,1,2,2,1,7
BE,7,1,65,2,5,3,3,4,4,1,1,7
BE,7,2,32,6,1,6,5,3,3,2,1,7
BE,5,2,48,3,1,6,1,1,5,9,0,5
BE,6,2,69,4,6,2,4,4,5,4,1,6
BE,0,2,72,2,6,1,1,1,3,10,0,1
BE,1,2,85,2,8,2,2,1,3,10,0,1
BE,7,1,48,1,2,1,2,4,4,10,1,7
BE,7,2,61,7,6,5,5,3,3,2,1,7
BE,7,1,28,4,1,5,4,2,4,5,1,7
BE,7,1,31,2,1,7,3,5,5,5,1,7
BE,7,1,44,2,1,5,4,4,5,7,1,7
BE,6,1,47,7,1,8,3,3,3,2,1,6
BE,7,1,58,5,3,9,3,5,1,8,1,7
BE,3,1,62,2,6,3,5,4,4,7,0,3
BE,5,2,56,5,8,2,5,5,5,5,0,5
BE,1,2,74,5,6,4,4,3,4,1,0,1
BE,7,1,19,4,2,6,4,5,5,4,1,7
BE,0,1,61,2,4,3,3,1,4,4,0,1
BE,7,1,62,3,6,6,1,3,3,8,1,7
BE,6,2,39,6,1,8,5,3,3,3,1,6
BE,1,2,73,2,8,4,3,1,4,8,0,1
BE,0,2,72,1,6,3,0,2,3,10,0,1
BE,1,1,64,4,6,9,3,1,4,7,0,1
BE,6,1,67,5,6,6,1,1,2,8,1,6
BE,7,2,46,6,1,2,3,3,4,9,1,7
BE,6,1,20,4,2,4,4,4,4,10,1,6
BE,7,1,30,6,1,1,4,4,4,1,1,7
BE,4,1,51,4,3,9,4,3,3,1,0,4
BE,1,1,77,1,6,6,3,0,4,8,0,1
BE,1,1,77,1,6,3,0,1,3,9,0,1
BE,7,2,31,3,3,6,0,1,2,9,1,7
BE,1,2,40,2,5,6,1,0,4,5,0,1
BE,7,2,48,6,1,10,3,3,4,4,1,7
BE,6,2,51,1,1,5,5,3,4,4,1,6
BE,7,2,62,4,1,6,5,5,4,5,1,7
BE,0,2,75,2,8,4,1,1,1,10,0,1
BE,1,2,79,6,6,2,4,4,4,7,0,1
BE,5,1,43,4,1,9,3,3,4,4,0,5
BE,4,1,50,3,1,3,4,4,4,9,0,4
BE,7,1,53,4,8,4,4,3,3,0,1,7
BE,4,2,17,2,2,8,4,3,4,10,0,4
BE,7,2,40,4,8,7,4,2,4,5,1,7
BE,4,2,67,1,8,3,3,3,3,4,0,4
BE,7,2,38,4,1,6,5,4,5,5,1,7
BE,7,2,57,2,8,8,4,4,1,5,1,7
BE,0,2,65,2,8,4,3,3,4,4,0,1
BE,6,2,22,4,1,6,4,5,3,2,1,6
BE,7,2,45,4,8,5,2,2,4,5,1,7
BE,7,2,28,7,1,8,3,3,3,2,1,7
BE,0,2,86,7,8,5,3,1,1,4,0,1
BE,7,1,28,6,1,7,3,2,3,3,1,7
BE,7,2,23,6,2,8,3,5,3,10,1,7
BE,6,2,49,4,1,4,5,5,4,5,1,6
BE,6,2,60,4,1,10,1,3,3,4,1,6
BE,7,2,62,6,9,7,3,4,1,1,1,7
BE,1,2,66,5,6,4,1,2,3,5,0,1
BE,0,2,83,1,6,2,1,0,2,9,0,1
BE,7,1,40,4,1,4,1,3,1,9,1,7
BE,7,1,52,7,1,8,5,3,4,2,1,7
BE,7,1,57,3,1,10,4,3,4,1,1,7
BE,7,2,37,6,1,8,5,5,5,4,1,7
BE,3,2,41,6,1,9,4,5,5,2,0,3
BE,0,2,70,6,6,10,4,5,3,2,0,1
BE,7,1,20,4,2,7,2,4,4,4,1,7
BE,6,2,49,4,1,9,1,2,2,3,1,6
BE,7,1,19,4,2,10,3,2,4,10,1,7
BE,4,1,34,4,4,5,4,4,3,7,0,4
BE,7,1,49,7,1,10,3,3,4,2,1,7
BE,0,1,64,1,5,2,4,1,2,10,0,1
BE,1,2,43,7,1,9,4,2,1,4,0,1
BE,7,2,56,4,1,9,5,5,3,3,1,7
BE,7,1,24,4,2,10,5,3,3,6,1,7
BE,0,1,78,6,6,3,4,3,3,8,0,1
BE,7,2,31,6,1,7,5,4,5,3,1,7
BE,7,2,57,5,1,8,5,5,2,4,1,7
BE,7,1,53,6,1,7,4,5,5,1,1,7
BE,7,2,26,7,9,4,4,5,3,2,1,7
BE,1,2,80,4,6,4,1,3,3,10,0,1
BE,6,2,46,6,1,10,5,5,3,2,1,6
BE,6,1,40,6,1,8,4,5,3,2,1,6
BE,7,2,66,4,9,3,5,4,4,4,1,7
BE,6,1,53,6,1,10,2,2,3,3,1,6
BE,7,1,59,2,1,9,3,3,3,3,1,7
BE,7,1,87,7,6,8,2,5,5,1,1,7
BE,0,2,62,7,5,1,0,1,0,2,0,1
BE,7,1,29,2,1,6,2,2,4,8,1,7
BE,7,1,69,2,6,3,1,1,2,7,1,7
BE,7,2,52,4,1,9,4,2,5,4,1,7
BE,7,1,25,7,3,4,4,5,4,10,1,7
BE,4,1,38,5,1,2,5,4,4,7,0,4
BE,0,1,82,2,6,4,3,2,4,7,0,1
BE,6,1,42,4,1,7,4,3,4,7,1,6
BE,7,1,41,6,1,9,5,4,3,3,1,7
BE,1,1,57,1,5,3,2,1,0,9,0,1
BE,0,1,74,2,6,8,4,1,1,3,0,1
BE,7,2,22,4,1,8,4,5,4,4,1,7
BE,7,2,20,4,2,9,3,4,4,10,1,7
BE,6,2,28,6,1,6,4,4,4,4,1,6
BE,6,2,31,5,1,6,4,4,4,5,1,6
BE,6,2,44,5,1,2,0,4,4,9,1,6
BE,7,2,48,2,1,8,3,3,4,8,1,7
BE,7,2,53,2,5,1,2,4,4,9,1,7
BE,7,1,18,2,2,4,5,5,5,10,1,7
BE,1,1,58,4,6,5,4,1,4,7,0,1
BE,7,1,62,4,9,8,3,2,2,4,1,7
BE,0,1,66,1,6,4,0,1,4,1,0,1
BE,0,1,71,4,6,5,5,2,4,6,0,1
BE,7,2,34,6,1,9,2,4,5,4,1,7
BE,7,2,32,2,1,4,1,3,3,9,1,7
BE,7,2,37,5,1,7,2,3,5,4,1,7
BE,1,2,64,1,8,3,4,4,4,7,0,1
BE,0,2,78,1,6,4,1,1,4,8,0,1
BE,7,1,21,4,2,7,4,3,1,9,1,7
BE,7,1,25,3,1,10,2,4,4,8,1,7
BE,6,1,34,5,1,8,4,2,4,4,1,6
BE,7,1,38,4,1,7,3,3,3,8,1,7
BE,7,1,49,4,1,8,2,1,4,7,1,7
BE,7,1,58,4,1,6,3,3,5,4,1,7
BE,0,1,66,4,8,3,2,2,4,8,0,1
BE,0,1,73,1,6,3,4,0,4,8,0,1
BE,6,2,31,7,1,8,3,3,3,4,1,6
BE,7,2,45,7,1,8,5,4,3,3,1,7
BE,7,2,63,4,4,1,3,2,3,4,1,7
BE,5,2,49,2,1,6,3,0,3,6,0,5
BE,1,2,62,2,5,10,4,4,5,9,0,1
BE,0,1,87,7,6,7,5,4,5,1,0,1
BE,7,2,38,6,1,5,3,3,3,2,1,7
BE,5,2,17,1,9,8,4,2,3,10,0,5
BE,1,2,31,2,1,5,1,5,1,5,0,1
BE,6,2,39,7,3,6,3,2,3,2,1,6
BE,3,2,65,2,6,2,1,1,3,1,0,3
BE,7,1,29,7,1,8,3,2,3,4,1,7
BE,1,1,64,1,6,1,5,5,4,7,0,1
BE,1,1,88,2,8,2,5,3,1,3,0,1
BE,7,2,38,4,1,9,4,5,1,5,1,7
BE,1,2,57,3,5,4,4,3,2,3,0,1
BE,7,1,44,1,1,10,4,4,4,5,1,7
BE,7,1,54,2,1,4,4,3,2,7,1,7
BE,0,1,82,2,6,3,1,1,1,6,0,1
BE,7,2,25,6,1,7,3,5,5,2,1,7
BE,0,2,51,4,8,10,2,2,3,9,0,1
BE,7,2,64,6,3,3,3,2,3,9,1,7
BE,0,2,77,2,6,4,4,4,4,5,0,1
BE,7,1,16,2,2,8,3,3,4,10,1,7
BE,7,1,32,6,1,8,3,2,0,2,1,7
BE,6,1,46,6,8,7,3,1,3,7,1,6
BE,7,1,58,4,1,7,4,3,2,1,1,7
BE,7,2,24,6,1,9,3,5,5,2,1,7
BE,7,2,40,6,1,7,3,3,3,4,1,7
BE,1,2,51,4,1,6,3,4,5,8,0,1
BE,7,2,75,6,8,6,3,3,4,2,1,7
BE,7,1,23,4,2,8,3,2,3,10,1,7
BE,7,1,47,5,1,9,4,3,4,3,1,7
BE,1,2,53,2,1,10,4,4,4,4,0,1
BE,7,1,46,3,1,7,3,4,2,1,1,7
BE,7,1,60,5,1,8,3,4,3,3,1,7
BE,7,2,26,2,3,8,1,1,3,9,1,7
BE,7,1,42,4,1,8,4,1,3,1,1,7
BE,7,1,74,4,6,6,5,4,3,1,1,7
BE,0,1,79,2,6,4,3,1,3,10,0,1
BE,7,2,19,4,2,7,5,3,5,5,1,7
BE,7,2,31,6,8,8,4,2,1,3,1,7
BE,7,2,61,6,6,2,5,5,4,1,1,7
BE,0,2,88,1,6,2,2,2,4,10,0,1
BE,7,1,43,6,1,9,3,2,3,2,1,7
BE,7,2,50,5,1,3,2,2,3,7,1,7
BE,7,2,55,2,1,4,3,4,4,9,1,7
BE,7,1,21,4,9,6,5,1,4,10,1,7
BE,7,1,38,6,1,4,0,5,5,2,1,7
